    PID TTY      STAT   TIME COMMAND
  44125 pts/0    S+     0:00 sudo ./father
  44126 pts/1    Ss     0:00  \_ sudo ./father
  44127 pts/1    R+     0:00      \_ ./father
  44128 pts/1    R+     0:00          \_ ./father
  44129 pts/1    R+     0:00              \_ ./father
  44130 pts/1    R+     0:00                  \_ ./father
  44131 pts/1    S+     0:00                      \_ ./father
  44132 pts/1    S+     0:00                          \_ sh -c ps xf > log.txt
  44133 pts/1    R+     0:00                              \_ ps xf
   1851 ?        Ss     0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00  \_ [rcu_gp]
      4 ?        I<     0:00  \_ [rcu_par_gp]
      5 ?        I<     0:00  \_ [slub_flushwq]
      6 ?        I<     0:00  \_ [netns]
     11 ?        I<     0:00  \_ [mm_percpu_wq]
     12 ?        I      0:00  \_ [rcu_tasks_kthread]
     13 ?        I      0:00  \_ [rcu_tasks_rude_kthread]
     14 ?        I      0:00  \_ [rcu_tasks_trace_kthread]
     15 ?        S      0:01  \_ [ksoftirqd/0]
     16 ?        I      0:17  \_ [rcu_preempt]
     17 ?        S      0:00  \_ [migration/0]
     18 ?        S      0:00  \_ [idle_inject/0]
     19 ?        S      0:00  \_ [cpuhp/0]
     20 ?        S      0:00  \_ [cpuhp/2]
     21 ?        S      0:00  \_ [idle_inject/2]
     22 ?        S      0:00  \_ [migration/2]
     23 ?        S      0:00  \_ [ksoftirqd/2]
     26 ?        S      0:00  \_ [cpuhp/4]
     27 ?        S      0:00  \_ [idle_inject/4]
     28 ?        S      0:00  \_ [migration/4]
     29 ?        S      0:00  \_ [ksoftirqd/4]
     32 ?        S      0:00  \_ [cpuhp/6]
     33 ?        S      0:00  \_ [idle_inject/6]
     34 ?        S      0:00  \_ [migration/6]
     35 ?        S      0:00  \_ [ksoftirqd/6]
     38 ?        S      0:00  \_ [cpuhp/8]
     39 ?        S      0:00  \_ [idle_inject/8]
     40 ?        S      0:00  \_ [migration/8]
     41 ?        S      0:00  \_ [ksoftirqd/8]
     44 ?        S      0:00  \_ [cpuhp/10]
     45 ?        S      0:00  \_ [idle_inject/10]
     46 ?        S      0:00  \_ [migration/10]
     47 ?        S      0:00  \_ [ksoftirqd/10]
     50 ?        S      0:00  \_ [cpuhp/12]
     51 ?        S      0:00  \_ [idle_inject/12]
     52 ?        S      0:00  \_ [migration/12]
     53 ?        S      0:00  \_ [ksoftirqd/12]
     56 ?        S      0:00  \_ [cpuhp/14]
     57 ?        S      0:00  \_ [idle_inject/14]
     58 ?        S      0:00  \_ [migration/14]
     59 ?        S      0:00  \_ [ksoftirqd/14]
     62 ?        S      0:00  \_ [cpuhp/1]
     63 ?        S      0:00  \_ [idle_inject/1]
     64 ?        S      0:00  \_ [migration/1]
     65 ?        S      0:00  \_ [ksoftirqd/1]
     68 ?        S      0:00  \_ [cpuhp/3]
     69 ?        S      0:00  \_ [idle_inject/3]
     70 ?        S      0:00  \_ [migration/3]
     71 ?        S      0:00  \_ [ksoftirqd/3]
     73 ?        I<     0:00  \_ [kworker/3:0H-ttm]
     74 ?        S      0:00  \_ [cpuhp/5]
     75 ?        S      0:00  \_ [idle_inject/5]
     76 ?        S      0:00  \_ [migration/5]
     77 ?        S      0:00  \_ [ksoftirqd/5]
     80 ?        S      0:00  \_ [cpuhp/7]
     81 ?        S      0:00  \_ [idle_inject/7]
     82 ?        S      0:00  \_ [migration/7]
